,5G-NR RRC NR MCG Mobility Statistics Intra-NR HandoverDuration [sec],HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),5G-NR RRC NR SCG Mobility Statistics Duration [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[LTE to NR] [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[NR to NR] [sec]
81,0.048,,,,,
214,0.048,,,,,
233,0.048,,,,,
251,0.047,,,,,
281,0.046,,,,,
301,0.046,,,,,
322,0.048,,,,,
337,0.049,,,,,
358,0.048,,,,,
380,0.045,,,,,
401,0.048,,,,,
419,0.045,,,,,
446,0.048,,,,,
507,0.048,,,,,
558,0.047,,,,,
582,0.048,,,,,
898,0.049,,,,,
941,0.049,,,,,
959,0.049,,,,,
977,0.049,,,,,
1030,0.048,,,,,
1065,0.047,,,,,
1088,0.047,,,,,
1150,0.045,,,,,
1177,0.049,,,,,
1201,0.047,,,,,
1218,0.047,,,,,
1245,0.046,,,,,
1276,0.049,,,,,
1298,0.049,,,,,
1362,0.048,,,,,
1381,0.048,,,,,
1410,0.048,,,,,
1428,0.045,,,,,
1450,0.047,,,,,
1499,0.049,,,,,
1516,0.046,,,,,
1544,0.046,,,,,
1695,0.048,,,,,
1792,0.048,,,,,
1836,0.049,,,,,
1870,0.048,,,,,
1892,0.046,,,,,
1932,0.049,,,,,
1989,0.048,,,,,
2027,0.047,,,,,
2061,0.048,,,,,
2168,0.049,,,,,
2238,0.047,,,,,
2258,0.047,,,,,
2315,0.049,,,,,
2346,0.049,,,,,
2396,0.049,,,,,
2556,0.046,,,,,
2615,0.049,,,,,
2652,0.047,,,,,
2686,0.047,,,,,
2764,0.049,,,,,
2857,0.046,,,,,
2938,0.048,,,,,
3038,0.048,,,,,
3102,0.047,,,,,
3137,0.05,,,,,
3158,0.049,,,,,
3180,0.048,,,,,
3201,0.047,,,,,
3234,0.047,,,,,
3395,0.047,,,,,
3449,0.048,,,,,
3504,0.049,,,,,
3594,0.048,,,,,
3644,0.049,,,,,
3666,0.048,,,,,
3711,0.047,,,,,
3740,0.05,,,,,
3757,0.049,,,,,
3780,0.049,,,,,
3832,0.049,,,,,
3890,0.051,,,,,
3909,0.048,,,,,
3989,0.048,,,,,
4131,0.048,,,,,
4176,0.05,,,,,
4403,0.047,,,,,
4419,0.048,,,,,
4445,0.048,,,,,
4471,0.049,,,,,
4491,0.05,,,,,
4516,0.047,,,,,
4534,0.048,,,,,
4573,0.047,,,,,
4593,0.048,,,,,
4617,0.048,,,,,
4714,0.05,,,,,
4775,0.049,,,,,
4822,0.049,,,,,
5014,0.048,,,,,
5139,0.046,,,,,
5178,0.049,,,,,
5280,0.048,,,,,
5310,0.048,,,,,
5401,0.047,,,,,
5536,0.048,,,,,
5599,0.047,,,,,
5626,0.05,,,,,
5642,0.05,,,,,
5681,0.048,,,,,
5722,0.048,,,,,
5758,0.049,,,,,
5797,0.047,,,,,
5819,0.048,,,,,
5860,0.05,,,,,
5919,0.049,,,,,
5971,0.047,,,,,
6043,0.049,,,,,
6073,0.047,,,,,
6098,0.046,,,,,
6204,0.049,,,,,
6228,0.047,,,,,
6246,0.05,,,,,
6277,0.049,,,,,
6299,0.047,,,,,
6334,0.048,,,,,
6356,0.049,,,,,
6399,0.048,,,,,
6441,0.046,,,,,
6458,0.048,,,,,
6535,0.05,,,,,
6560,0.048,,,,,
6592,0.049,,,,,
6628,0.049,,,,,
6651,0.048,,,,,
6695,0.047,,,,,
6881,0.05,,,,,
6897,0.048,,,,,
6946,0.047,,,,,
6968,0.046,,,,,
6993,0.047,,,,,
7012,0.046,,,,,
7034,0.047,,,,,
7077,0.049,,,,,
7094,0.048,,,,,
7252,0.048,,,,,
7391,0.052,,,,,
7461,0.052,,,,,
7559,0.049,,,,,
7583,0.05,,,,,
7612,0.049,,,,,
7710,0.049,,,,,
7725,0.047,,,,,
7757,0.046,,,,,
7800,0.046,,,,,
7818,0.048,,,,,
7870,0.049,,,,,
7884,0.048,,,,,
7946,0.049,,,,,
7967,0.047,,,,,
7991,0.048,,,,,
8034,0.048,,,,,
8084,0.049,,,,,
8150,0.049,,,,,
8213,0.046,,,,,
8311,0.047,,,,,
8334,0.046,,,,,
8369,0.048,,,,,
8386,0.048,,,,,
8413,0.049,,,,,
8470,0.047,,,,,
8485,0.049,,,,,
8503,0.049,,,,,
8525,0.049,,,,,
8557,0.048,,,,,
8590,0.047,,,,,
8612,0.048,,,,,
8630,0.047,,,,,
8651,0.051,,,,,
8667,0.047,,,,,
8701,0.049,,,,,
8720,0.05,,,,,
8841,0.05,,,,,
8859,0.048,,,,,
8919,0.047,,,,,
8940,0.047,,,,,
8973,0.049,,,,,
8990,0.047,,,,,
9019,0.049,,,,,
9045,0.048,,,,,
9085,0.049,,,,,
9106,0.049,,,,,
9203,0.05,,,,,
9295,0.051,,,,,
